     <fileName>halvani-2014.pdf</fileName>    <title>Vebav A Simple Scalable And Fast Authorship Verification Scheme</title> 846 </counter> 
     <fileName>ozaslan-thesis-2013.pdf</fileName>    <title>Analysis Of Expressivity In Classical Guitar</title> 100 </counter> 
 For instance, the content within <title> and </title> pair is the title of a  91 </counter> 
     <fileName>brodic-2011.pdf</fileName>    <title>An Approach to a Comprehensive Test Framework for Analysis and Evaluation of Text Line Segmentation Algorithms</title> 81 </counter> 
     <fileName>rashid-2013.pdf</fileName>    <title>Computer Published By The Ieee Computer Society Ieee Cover Fe Ature</title> 81 </counter> 
     <fileName>braslavski-2009.pdf</fileName>    <title>Marrying Relevance And Genre Rankings An Exploratory Study</title> 78 </counter> 
     <fileName>stover-2015.pdf</fileName>    <title>Computational Authorship Verification Method Attributes A New Work To A Major Nd Century African Author</title> 77 </counter> 
     <fileName>bag-2011.pdf</fileName>    <title>International Conference On Image Information Processing Iciip Robust Binarization Of Degraded Documents Using Adaptivecuminterpolative</title> 72 </counter> 
     <fileName>chen-jasist-2013.pdf</fileName>    <title>A Text Mining Approach to Assist the General Public in the Retrieval of Legal Documents</title> 58 </counter> 
     <fileName>liao-2009.pdf</fileName>    <title>No proper data found.</title> 51 </counter> 
 HTML tag <title> and </title> as the page title. The 45 </counter> 
     <fileName>savoy-2012.pdf</fileName>    <title>Authorship Attribution A Comparative Study Of Three Text Corpora And Three Languages</title> 45 </counter> 
     <fileName>juola-2008-free.pdf</fileName>    <title>Foundations And Trends R In Information Retrieval</title> 42 </counter> 
     <fileName>luyckx-llc-2008.pdf</fileName>    <title>Llcreviews</title> 37 </counter> 
     <fileName>amir-2007.pdf</fileName>    <title>No proper data found.</title> 34 </counter> 
     <fileName>zhu-2015.pdf</fileName>    <title>Exploiting Link Structure For Web Page Genre Identification</title> 33 </counter> 
     <fileName>johnson-2014.pdf</fileName>    <title>Identifying Idiolect In Forensic Authorship Attribution An Ngram Textbite Approach</title> 33 </counter> 
     <fileName>asgari-2016.pdf</fileName>    <title>Comparing Fifty Natural Languages And Twelve Genetic Languages Using Embedding Language Divergence Weld As A Quantitative Measure</title> 31 </counter> 
     <fileName>anand-thesis-2013.pdf</fileName>    <title>Indexing Methods for Web Archives</title> 31 </counter> 
     <fileName>amida-d5-2-report-on-multimodal-content.pdf</fileName>    <title>Report on Multimodal Content Abstraction</title> 30 </counter> 
     <fileName>eder-dsh-2016.pdf</fileName>    <title>No proper data found.</title> 26 </counter> 
